Word,Word_Length,Word_NumberOfPhonoNeighbors,Word_PTAF,NonWord,NonWord_Length,NonWord_NumberOfPhonoNeighbors,NonWord_PTAF
chair,5,37,220.2279,thaub,5,5,196.2
stone,5,18,6.9662,shaif,5,15,12.6
brick,5,20,42.6882,pleem,5,9,32.77777778
cloth,5,5,2.4784,smien,5,5,3
river,5,12,2.9902,,,,
flame,5,9,14.2331,peuth,5,10,13.2
block,5,17,20.4106,sloan,5,10,9.2
scale,5,12,34.0735,brarc,5,7,28.57142857
cable,5,11,25.4474,,,,
brush,5,6,9.0131,choaf,,6,11.83333333
token,5,3,47.0784,,,,
model,5,10,11.4412,,,,
frame,5,12,173.4444,twelf,,1,98
fiber,5,5,46.7059,,,,
clock,5,21,8.1634,scuch,,9,2.888888889
cotton,6,6,22.2091,theeth,,6,22
beacon,6,5,5.7647,,,,
fabric,6,6,0.7451,,,,
dragon,6,6,4.549,,,,
clinic,6,6,1.951,,,,
helmet,6,1,2.0196,,,,
jungle,6,3,2.4052,,,,
marble,6,7,8.9132,,,,
signal,6,3,3.4837,,,,
ticket,6,4,11.7794,,,,
hazard,6,5,1.1961,,,,
napkin,6,6,2.5686,,,,
manual,6,6,3.902,,,,
lizard,6,5,2.5229,,,,
kitten,6,5,16.8088,,,,
blanket,7,1,5.098,,,,
journal,7,5,23.8824,,,,
monster,7,4,6.2892,,,,
picture,7,4,18.6618,,,,
machine,7,1,12.8627,,,,
station,7,3,5.8366,,,,
library,7,1,0.68627,,,,
theater,7,2,1.1667,,,,
kitchen,7,2,2.7255,,,,
mustard,7,3,1.3725,,,,
history,7,1,22.9608,,,,
surface,7,2,2.6765,,,,
network,7,1,2.1176,,,,
dolphin,7,1,2.7647,,,,
hospital,8,1,6.1765,,,,
festival,8,2,1.3137,,,,
journey,7,10,19.9412,,,,
leather,7,14,13.5882,,,,
biscuit,7,1,3.7451,,,,
monument,8,1,0.90196,,,,