Word,Length (Ortho),Word_PTAN,Word_PTAF,Word_OTAN,Word_OTAF,Pseudoword,Pseudoword_PTAN,Pseudoword_PTAF,Pseudoword_OTAN,Pseudoword_OTAF,PTAF_RelDiff_Pct,OTAN_Diff,OTAF_RelDiff_Pct
koala,5,1,5.5294,0,0,,,,,,,,
cigar,5,1,6.6667,1,6.6667,,,,,,,,
nylon,5,2,0.89216,2,0.89216,,,,,,,,
cloth,5,5,2.4784,5,1.0235,,,,,,,,
tulip,5,1,1.1373,1,1.1373,,,,,,,,
flame,5,9,14.2331,7,15.1289,,,,,,,,
mango,5,3,2.183,3,2.5686,,,,,,,,
dagger,5,5,1.5529,3,16.5556,,,,,,,,
bonnet,5,1,0.76471,2,0.58824,,,,,,,,
brush,5,6,9.0131,5,13.0824,,,,,,,,
token,5,3,47.0784,4,35.5098,,,,,,,,
model,5,10,11.4412,5,6.8196,,,,,,,,
parlor,5,6,4.6046,1,0.52941,,,,,,,,
fiber,5,5,46.7059,4,1.4902,,,,,,,,
violin,5,1,1.0588,1,1.0588,,,,,,,,
pellet,5,3,0.6732,2,0.53921,,,,,,,,